date,VIS@KAU.M,VISUS@KAU.M,VISUSW@KAU.M,VISUSE@KAU.M,VISJP@KAU.M,VISRES@KAU.M,VLOS@KAU.M,VDAY@KAU.M,VEXP@KAU.M
1998-09-01,91.2903514656,67.8285635867,,,10.0876174581,13.3741704208,5.6828397627,518.7884392596,
1998-10-01,89.8035446011,67.2176465092,,,9.2563273655,13.3295707263,5.633331133,505.8931036543,
1998-11-01,90.6883246964,67.1259710335,,,9.1084977727,14.4538558901,5.8184589227,527.6662920136,
1998-12-01,92.1350474856,69.2732055945,,,8.5214784342,14.3403634568,6.1672874665,568.2233235871,
1999-01-01,91.8217399022,71.5419141952,,,8.0759225097,12.2039031973,6.2362375614,572.6221833274,
1999-02-01,92.7554487423,71.9582840968,,,8.1195742375,12.6775904079,5.7813391574,536.2507078784,
1999-03-01,90.536282673,69.6655804764,,,7.7377299185,13.1329722781,5.7109336361,517.046702006,
1999-04-01,91.0930640424,70.9561802766,,,7.8611847625,12.2756990033,5.6094010998,510.977533628,
1999-05-01,89.5002357789,70.2262477803,,,7.6593821712,11.6146058274,5.7254982092,512.4334396773,
1999-06-01,89.5218870662,69.7088483245,,,7.637503915,12.1755348267,5.8076693271,519.9135176156,
1999-07-01,90.7772667073,70.61398129,,,7.8321203227,12.3311650945,5.867136892,532.6026504536,
1999-08-01,89.6151950667,69.0852101699,,,7.8880912791,12.6418936177,5.8695350988,525.9995328253,
1999-09-01,90.3485515411,69.235863709,,,7.8356235172,13.2770643149,5.9081821646,533.795700811,
1999-10-01,93.2601533958,71.8320528861,,,7.26711217,14.1609883398,5.9895152727,558.5831130996,
1999-11-01,91.8312748365,70.6302378216,,,8.0944015778,13.1066354371,5.9414669803,545.6124871957,
1999-12-01,88.2275047722,69.9713989735,,,6.561353619,11.6947521797,6.0620251005,534.8373484821,
2000-01-01,84.7881082504,65.4551881095,33.7684388977,29.6859910416,8.8270812617,10.5058388793,6.2627844308,531.009644272,
2000-02-01,91.4087568544,71.2013567459,37.9091368243,33.3654517419,9.6467788904,10.5606212182,6.2415209187,570.5296680614,
2000-03-01,93.1956152864,72.8475957892,38.1862630741,32.405561264,10.1015786977,10.2464407995,6.1109794233,569.5164873614,
2000-04-01,91.2936898588,70.5093731382,36.7752119821,31.7852724755,10.5995604972,10.1847562234,6.152964956,561.7268744019,
2000-05-01,91.5663443015,71.0831893355,37.4546399156,32.0333793599,10.8866437796,9.5965111865,6.061910151,555.0669520086,
2000-06-01,91.3343576942,70.7680390772,37.9562407987,31.9615089525,11.0917284769,9.4745901402,6.0739786307,554.762936884,
2000-07-01,89.9953300588,70.6984775815,37.696133154,34.0351338537,10.4716271626,8.8252253147,6.1102400977,549.893074331,
2000-08-01,85.8023646074,66.1616621198,36.5592361945,30.6051696971,10.9146850411,8.7260174464,6.2616828979,537.2671990637,
2000-09-01,90.1442854635,69.6458814965,37.7219127013,34.2640005012,10.3865401645,10.1118638024,6.1258855667,552.2135772393,
2000-10-01,89.3058745083,68.6422662087,37.0473830962,32.8292936,11.0599336076,9.6036746919,6.1830543215,552.183073317,
2000-11-01,87.9678011366,68.3019765784,36.7809617617,33.0240962458,10.9050549707,8.7607695875,6.2023438381,545.6065493299,
2000-12-01,88.0189070111,67.6349938197,37.2744415999,31.8251412669,11.29878745,9.0851257414,6.1440205757,540.7899757299,
2001-01-01,90.5539625563,69.0087821751,36.9933571246,31.8994677456,11.5559907498,9.9891896314,6.0520140719,548.0338556529,
2001-02-01,89.1866311143,68.5630043684,36.3891616899,31.2541686569,11.4307570383,9.1928697076,5.9377679624,529.5695209059,
2001-03-01,90.5097545895,70.3742207146,39.1325334673,32.2100521262,11.3720628888,8.7634709861,6.0778830544,550.1077036758,
2001-04-01,89.8501355248,69.0675666375,38.1443815926,31.0015592144,11.8486465614,8.9339223258,5.9930511089,538.4764543408,
2001-05-01,88.1294018839,68.1147233245,37.0552457317,31.3875505226,11.5217353525,8.4929432069,5.956858437,524.97437116,
2001-06-01,88.4905274498,67.7633632897,36.6588279401,32.2853876243,12.0794511646,8.6477129955,6.017665037,532.5063531376,
2001-07-01,88.4308631309,67.5937627331,36.6479264829,31.7753829127,12.2006202691,8.6364801286,5.9639830089,527.4001651787,
2001-08-01,89.3413321844,69.0131527096,38.175975317,31.5750999738,12.1589967308,8.169182744,6.1214632045,546.8996776052,
2001-09-01,68.7120916042,55.2113411529,29.7215101484,22.7583900091,6.3965088769,7.1042415744,6.3901934727,439.0835592622,
2001-10-01,71.1814318804,59.5342835964,32.4747665567,26.6337768182,5.4298039066,6.2173443773,6.2380511418,444.0334124183,
2001-11-01,74.868956118,63.2744257752,34.9388502176,27.6812335993,4.4712433861,7.1232869567,6.5187117812,488.0491462949,
2001-12-01,79.4426970396,64.8763735229,36.8224637311,28.7779307971,6.954183075,7.6121404417,6.1284986602,486.8644623677,
2002-01-01,79.3485525204,63.8438983509,35.6879267049,28.0167663375,7.4547100685,8.049944101,6.1947795034,491.5467867811,
2002-02-01,85.3035793018,69.2578573052,37.7810675309,30.6231903917,7.7684091685,8.2773128281,6.1454270093,524.2269202328,
2002-03-01,83.1180229153,66.1964150411,37.1247624098,29.3396870162,8.3883463812,8.533261493,6.1443118494,510.7030530958,
2002-04-01,80.8604327302,64.034088575,36.6068009395,28.127293123,8.13411604,8.6922281151,6.5044708514,525.9543277274,
2002-05-01,85.380607128,67.2392465626,37.1979747466,30.0865289137,8.5955380317,9.5458225336,6.2797002606,536.164620836,
2002-06-01,88.4186000903,70.554402885,40.1195661097,30.4497135231,8.5044231963,9.3597740089,6.0772287373,537.340057384,
2002-07-01,84.0698133057,65.7618654251,38.0862431061,28.0948690208,7.8640795939,10.4438682867,6.1141068266,514.0118194422,
2002-08-01,84.4887976999,66.0257847638,38.2511435387,29.1522737565,7.9645458531,10.498467083,6.0809975484,513.7761716792,
2002-09-01,82.7726996687,65.0538840444,35.1392383305,28.3252452864,7.3686106063,10.350205018,6.5626544861,543.2086288048,
2002-10-01,84.0869844177,66.3589287183,37.8378979812,28.2935653356,7.5797421673,10.1483135321,6.4577277497,543.0108526663,
2002-11-01,83.9690708695,65.8311893996,36.6629914879,29.2858810191,7.1315045943,11.0063768757,6.5824598166,552.723034834,
2002-12-01,84.0801274111,65.2414389289,36.9123871144,28.1959862763,8.4319742988,10.4067141835,6.450560569,542.3639545166,
2003-01-01,83.6678802261,67.9751141069,38.878949315,29.0731146997,5.8541561283,9.838609991,6.3757143497,533.4425045681,82.5482241327
2003-02-01,80.8508743224,65.8061454594,36.9686411796,27.4487565353,5.597223995,9.4475048679,6.519879225,527.137935814,83.3680604471
2003-03-01,80.2432768545,66.4832537643,38.1336444325,28.7998191823,4.4245429933,9.3354800969,6.5816915804,528.136499654,80.8999681281
2003-04-01,80.7391914818,68.7753968697,39.3671735608,29.9725494714,3.2960121769,8.6677824352,6.9207698576,558.7773627335,79.6926631554
2003-05-01,79.3956132215,67.3963881693,39.1169885663,29.1889653454,3.2127088001,8.7865162521,6.9534623969,552.0744110129,81.2818507857
2003-06-01,80.520588074,68.744659945,40.3738384194,28.3524635838,3.2936807996,8.4822473294,6.8407354899,550.8200445022,80.0348278084
2003-07-01,82.0883949889,70.3570525015,40.7924547228,29.7753059788,3.4348510182,8.2964914692,6.8765996289,564.4890265174,81.2540636504
2003-08-01,83.7420254434,71.0567468389,40.4488490966,31.438937566,3.9081487796,8.7771298249,7.0817302215,593.0384323942,91.3983439684
2003-09-01,80.4645775542,67.1719046362,37.2528686812,28.7327054787,4.2950714879,8.99760143,6.7919371768,546.5103557096,83.659509827
2003-10-01,80.3714381505,67.1576409893,39.0925168822,27.6930037196,4.513042047,8.7007551142,6.8981872931,554.4172333812,86.40227797
2003-11-01,80.8916868133,67.4459579963,39.295145102,27.973811474,4.7646701101,8.6810587069,6.8796954214,556.5101673979,87.684861359
2003-12-01,82.8914376634,69.058015723,38.2974810416,30.9602929649,5.101675664,8.7317462764,6.8330402425,566.400529315,90.9783265412
2004-01-01,81.9290543114,68.4529102372,39.2816754239,29.6420810863,4.575832007,8.9003120672,7.016505244,574.8556392134,89.0868523102
2004-02-01,83.7356956681,69.6578810968,41.2365089136,29.2109561029,4.9653665199,9.1124480514,7.0356672282,589.1364898452,88.4422008423
2004-03-01,84.3293992683,70.8011129064,39.6528940917,29.7112082138,4.6987717015,8.8295146604,6.7983552601,573.3012150996,85.1288408801
2004-04-01,84.9482249638,70.8595918758,41.2080266625,30.4809254492,4.9845275114,9.1041055766,6.9910323199,593.875786236,88.9042437708
2004-05-01,85.7263286007,71.6479891058,41.0393333228,30.77749595,4.898134196,9.1802052989,6.9642346661,597.0182694407,91.5017200605
2004-06-01,85.1078385152,70.6221494989,39.874026583,30.3987189318,4.9143232352,9.5713657811,6.8010553142,578.8231174166,92.8587071365
2004-07-01,86.4825097917,72.4104527976,40.007198332,32.862679836,4.9104803144,9.1615766797,6.8501328512,592.4166813795,93.8274667737
2004-08-01,83.9393435275,70.3781676576,40.5708405108,29.5099596608,4.5318899098,9.02928596,6.9215741989,580.9923944351,90.7479904295
2004-09-01,86.1857813748,72.3771591859,41.687008075,30.2703785731,4.2684770032,9.5401451857,6.8679497832,591.9196185106,92.0205498626
2004-10-01,86.3058958493,72.2503142479,40.7456429814,31.6851912879,4.3340607285,9.7215208729,6.8045960852,587.2767610242,94.576522563
2004-11-01,84.9055599403,71.4177560387,41.1254712486,29.828715764,3.9427743384,9.5450295632,6.7319278568,571.5781041559,90.8659917739
2004-12-01,87.3256777123,74.4836323514,42.2390128547,32.3131671441,3.8797855346,8.9622598263,6.6430573737,580.1094872431,89.9215768584
2005-01-01,86.4686225189,73.8048072138,42.0385718187,32.1719359008,3.9756236687,8.6881916364,6.800646095,588.0425000729,88.871396117
2005-02-01,87.9581080439,75.1504758635,41.5626777182,32.4414057581,3.7958460171,9.0117861633,6.5877107987,579.4425781971,88.9127549516
2005-03-01,92.029511803,78.8443944036,42.8033165891,33.4123478753,3.7307031666,9.4544142328,6.4832175666,596.647347565,92.8464252519
2005-04-01,83.8390582902,70.5835416926,41.6385178171,30.8856274641,3.6620701545,9.593446443,6.7976987989,569.9126658384,91.9328304373
2005-05-01,88.2423807007,74.7673149744,42.76385624,31.7802870796,3.8735350919,9.6015306344,6.4805190786,571.8564316715,94.5309943022
2005-06-01,89.8547024879,76.3297990946,43.7137228373,32.6417449808,3.8056677173,9.719235676,6.6166347819,594.5357497944,93.1197487537
2005-07-01,95.5352053177,81.6600179467,45.7218570643,34.385953291,3.5843156894,10.2908716815,6.60897112,631.3894128875,101.1802989973
2005-08-01,93.3858905525,79.777961761,44.6640606375,34.7547523135,3.2851731208,10.3227556707,6.6296317104,619.1140613127,96.1354045107
2005-09-01,92.7415991674,78.9375650706,46.1600149668,33.6893505566,3.5686473719,10.2353867249,6.4723887725,600.2596851956,99.7837455549
2005-10-01,93.8624438041,79.1421749451,46.3303071796,33.9622372477,3.514337314,11.205931545,6.5296044302,612.8846288903,97.3033354529
2005-11-01,92.8893623488,79.4451404797,45.4436060148,34.5702457442,3.3771609576,10.0670609115,6.4677446212,600.7846736971,96.2812011003
2005-12-01,93.3405263403,79.5848065544,46.5924911166,33.8991117885,3.5407217301,10.2149980559,6.5125333841,607.8832938775,98.470374937
2006-01-01,96.1751827883,82.0547681105,46.5596215724,35.4306236707,3.3308375441,10.7895771338,6.5006069374,625.1970604396,97.1281275164
